tgl-laporan,title,link,content,jenis_laporan,tingkat_urgensi
"13 Jan, 9:45",Botol minuman beralkohol di Tuban Abipraya,https://www.lapor.go.id/laporan/detil/botol-minuman-beralkohol-di-tuban-abipraya-202501130945101736736310880,"melapor bekas botol minuman beralkohol tuban abipraya , tolong menjaga keamanan , ditindaklanjuti sesuai kebijakan dampaknya negative masyarakat . elok disediakan fasum bagus dipakai . terima kasih",,
"31 Des 2024, 09:43",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202412310943361735613016385,mohon bantuan evakuasi sarang tawon diatap rumah warga desa tegalagung kecamatan semanding,Evakuasi/Penyelamatan Hewan,Segera
"31 Des 2024, 09:41",ular di rumah warga,https://www.lapor.go.id/laporan/detil/ular-di-rumah-warga-202412310941131735612873117,bantuan evakuasi ular salah rumah warga desa sugiharjo kecamatan merakurak,Evakuasi/Penyelamatan Hewan,Segera
"31 Des 2024, 09:38",evakuasi ular di rumah warga,https://www.lapor.go.id/laporan/detil/evakuasi-ular-di-rumah-warga-202412310938371735612717317,laporan bantuan evakuasi ular salah rumah warga desa panyuran kecamatan palang,Evakuasi/Penyelamatan Hewan,Segera
"31 Des 2024, 09:32",ular pyton di kandang angsa,https://www.lapor.go.id/laporan/detil/ular-pyton-di-kandang-angsa-202412310932421735612362721,laporan permohonan evakuasi ular pyton warga desa sawahan kecamatan rengel kandang angsa 3.5 m .,Evakuasi/Penyelamatan Hewan,Segera
"31 Des 2024, 09:30",evakuasi ular di kandang ayam,https://www.lapor.go.id/laporan/detil/evakuasi-ular-di-kandang-ayam-202412310930431735612243428,laporan warga desa mulyoagung kecamatan persinggahan ular pyton berukuran 3 meter kandang ayam sumakin ular pyton meresahkan aktivitas pemilik rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"31 Des 2024, 09:26",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202412310926411735612001203,laporan permohonan pembasmian sarang tawon avinis salah warga desa bader kecamatan jatirogo atap dapur atap ruang tamu .,Evakuasi/Penyelamatan Hewan,Segera
"31 Des 2024, 09:24",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202412310924391735611879643,permintaan bantuan evakuasi ular dapur rumah warga desa sumberejo kecamatan rengel,Evakuasi/Penyelamatan Hewan,Segera
"31 Des 2024, 09:22",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202412310922411735611761057,laporan permohonan evakuasi ular piton warga desa ngrayung kecamatan plumpang samping rumah 2.5m .,Evakuasi/Penyelamatan Hewan,Segera
"31 Des 2024, 09:20",evakuasi ular di rumah warga,https://www.lapor.go.id/laporan/detil/evakuasi-ular-di-rumah-warga-202412310920431735611643731,laporan permintaan evakuasi hewan liar ular rumah warga desa sokosari kecamatan soko,Evakuasi/Penyelamatan Hewan,Segera
"31 Des 2024, 02:18",Ular yang meresahkan warga,https://www.lapor.go.id/laporan/detil/ular-yang-meresahkan-warga-202412310918451735611525035,laporan ditemukan ular semak semak salah rumah warga desa sumberejo kecamatan rengel . tolong bantuannya evakuasi,Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 03:33",sarang tawon yang meresahkan,https://www.lapor.go.id/laporan/detil/sarang-tawon-yang-meresahkan-202412301033021735529582733,mohon bantuan mengusir tawon atap rumah warga desa glondonggede kecamatan tambakboyo,Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 03:29",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202412301029271735529367251,"laporan sarang tawon masjid al ihsan kelurahan sidomulyo kecamatan tuban , mohon dievakuasi",Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 03:25",sarang tawon meresahkan,https://www.lapor.go.id/laporan/detil/sarang-tawon-meresahkan-202412301025441735529144305,"sarang tawon meresahkan warga desa tasikharjo kecamatan jenu , mohon dievakuasi",Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 03:23",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202412301023281735529008570,laporan permohonan evakuasi sarang tawon afinis warga desa karang tinoto kecamatan rengel rumahnya,Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 03:21",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202412301021191735528879917,"laporan salah warga kelurahan mondokan kecamatan tuban ular phyton 3,5 berat 8 kg dikandang ternaknya",Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 03:19",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202412301019261735528766692,tolong bantuannya evakuasi ular kelurahan karangsari kecamatan tuban,Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 03:17",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202412301017541735528674168,mohon bantuan mengevakuasi ular kelurahan latsari kecamatan tuban,Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 03:16",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202412301016091735528569494,laporan warga desa dingil kecamatan jatirogo evakuasi ular piton,Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 03:14",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202412301014181735528458221,evakuasi sarang tawon rumah warga kelurahan ronggomulyo kecamatan tuban,Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 10:12",evakuasi Cincin,https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202412301012381735528358500,"bantuan melepaskan jari masuk lubang kunci pintu , keterangan pelapor kelas bermain main memasukkan jari manisnya lubang kunci pintu tersangkut , temannya mencoba mengeluarkannya . izin gurunya pos damkar bantuan mengevakuasi jari masuk lubang pintu",Penyelamatan Non Hewan & Bantuan Teknis,Normal
"30 Des 2024, 10:10",gangguan tawon,https://www.lapor.go.id/laporan/detil/gangguan-tawon-202412301010061735528206574,laporan evakuasi gangguan hewan liar tawon vespa affinis berdiameter 25 cm . atap teras rumah warga desa ngadirejo kecamatan rengel,Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 10:08",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202412301008251735528105669,"laporan gangguan hewan liar tawon vespa affinis berdiameter 35 guru sekolah dasar negeri banjararum ih kecamatan rengel , atap ruang guru sekolah dasar negeri",Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 10:05",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202412301005101735527910310,evakuasi sarang tawon salah rumah warga desa sendanghaji kecamatan merakurak meresahkan warga,Evakuasi/Penyelamatan Hewan,Segera
"30 Des 2024, 10:00",kebakaran akibat kebocoran gas,https://www.lapor.go.id/laporan/detil/kebakaran-akibat-kebocoran-gas-202412301000391735527639512,kebakaran akibat kebocoran gas lpg merembet plafon rumah warga kelurahan latsari kecamatan tuban,Kebakaran,Immediat
"30 Des 2024, 09:58",Kebakaran Rumah Warga,https://www.lapor.go.id/laporan/detil/kebakaran-rumah-warga-202412300958291735527509756,tungku pawon terbakar merambat dinding kayu salah rumah warga desa gesing kecamatan semanding,Kebakaran,Immediat
"30 Des 2024, 09:56",Kebakaran akibat korsleting listrik,https://www.lapor.go.id/laporan/detil/kebakaran-akibat-korsleting-listrik-202412300956351735527395958,konsleting lampu pojokan kamar merembet kasur plafon rumah warga kelurahan latsari kecamatan tuban,Kebakaran,Immediat
"30 Des 2024, 09:54",Kebakaran Korsleting Listrik,https://www.lapor.go.id/laporan/detil/kebakaran-korsleting-listrik-202412300954471735527287848,"kebakaran salah rumah warga ds . besowo rt . 001 rw . 002 kec . jatirogo , kab.tuban diduga kebakaran akibat konsleting kabel listrik rangka atap rumah",Kebakaran,Immediat
"30 Des 2024, 09:51",Kebakaran Korsleting Listrik,https://www.lapor.go.id/laporan/detil/kebakaran-korsleting-listrik-202412300951451735527105923,"kebakaran rumah milik warga desa tlogoagung kecamatan bancar kabupaten tuban , diduga konseting listrik , kejadian saksi api menyala stok kotak meteran listrik",Kebakaran,Immediat
"30 Des 2024, 09:48",Selang gas Bocor,https://www.lapor.go.id/laporan/detil/selang-gas-bocor-202412300948131735526893143,"mohon dibantu kebakaran akibat selang gas bocor memasak rumah warga kecamatan bangilan . rumah 70 terbuat kayu , api cepat menjalar kebagian rumah membakar rumah .",,
"23 Des 2024, 03:15",Hp tercebur sumur,https://www.lapor.go.id/laporan/detil/hp-tercebur-sumur-202412231015051734923705039,laporan warga desa gemanting kecamatan semanding handphone korban tercebur sumur bantuan damkar mengambil handphone,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"23 Des 2024, 03:10",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202412231010341734923434626,pos markas komando menerima laporan permohonan evakuasi ular warga kelurahan karang kecamatan semanding,Evakuasi/Penyelamatan Hewan,Segera
"23 Des 2024, 03:07",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202412231007381734923258609,pos markas komando menerima laporan permohonan evakuasi ular warga kelurahan sendangharjo kecamatan tuban salah rumah warga .,Evakuasi/Penyelamatan Hewan,Segera
"23 Des 2024, 03:04",ular pyton,https://www.lapor.go.id/laporan/detil/ular-pyton-202412231004461734923086498,"pos markas komando menerima laporan permohonan evakuasi ular pyton warga kelurahan perbon kecamatan tuban kandang bebek samping rumah waga 3,5 m .",Evakuasi/Penyelamatan Hewan,Segera
"23 Des 2024, 03:02",evakuasi ular phyton,https://www.lapor.go.id/laporan/detil/evakuasi-ular-phyton-202412231002511734922971591,pos pemadam kebakaran persinggahan menerima laporan permohonan evakuasi ular pyton rumah warga desa ngawun kecamatan parengan menyebabkan keresahan keluarga warga .,Evakuasi/Penyelamatan Hewan,Segera
"23 Des 2024, 03:00",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202412231000501734922850715,"pos pemadam kebakaran jatirogo menerima laporan permohonan evakuasi sarang tawon berdiameter 60cm salah guru pohon nangka ra muslimat nu 04 santren jalan raya bangilan no . 12 desa banjarworo kecamatan bangilan kabupaten tuban sarang tawon menyebabkan keresahan guru , murid warga .",Evakuasi/Penyelamatan Hewan,Segera
"23 Des 2024, 02:57",Evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202412230957051734922625174,pelapor pos persinggahan melaporkan ular rumah warga desa mulayoagung kecamatan persinggahan,Evakuasi/Penyelamatan Hewan,Segera
"23 Des 2024, 02:55",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202412230955061734922506952,menerima laporan evakuasi ular mondokan kecamatan tuban,Evakuasi/Penyelamatan Hewan,Segera
"23 Des 2024, 02:50",Sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202412230951001734922260653,laporan sarang tawon affinis atap rumah warga desa borehbangle kecamatan merakurak bantuan satuan polisi pp damkar tuban evakuasi,Evakuasi/Penyelamatan Hewan,Segera
"23 Des 2024, 02:47",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202412230947521734922072717,laporan ita kristiani redkar ular koros ular kayu halaman sekolah dasar negeri sidomulyo,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 10:43",Bantuan Pelepasan Cincin,https://www.lapor.go.id/laporan/detil/bantuan-pelepasan-cincin-202411281043391732765419100,permohonan bantuan pelepasan cincin warga desa wotsogo kecamatan jatirogo langsung pos damkar jatirogo,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"28 Nov 2024, 10:41",Sapi masuk sumur,https://www.lapor.go.id/laporan/detil/sapi-masuk-sumur-202411281041311732765291081,laporan permohonan evakuasi sapi masuk sumur milik warga desa sidotentrem kecamatan bnagilan kedalaman sumur 10 meter,Kebakaran,Immediat
"28 Nov 2024, 10:38",Evakuasi Anting,https://www.lapor.go.id/laporan/detil/evakuasi-anting-202411281038381732765118157,"laporan salah warga desa banjarworo kecamatan bangilan memohon bantuan melepaskan anting emas telingga sebelah kanan . anting tersangkut 2 , susah dilepas daun telingga membengkak . bersangkutan mencoba melepasnya dibantu anak suaminya , hasilnya terlepas menambah luka . pelapor bantuan tim damkar membantu melepaskan anting",Penyelamatan Non Hewan & Bantuan Teknis,Normal
"28 Nov 2024, 10:35",Evakuasi Ayam Tercebur Sumur,https://www.lapor.go.id/laporan/detil/evakuasi-ayam-tercebur-sumur-202411281035351732764935948,laporan permohonan evakuasi ayam kecebur sumur kelurahan doromukti kecamatan tuban,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"28 Nov 2024, 10:33",Evakuasi cincin,https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202411281033291732764809722,permohonan bantuan evakuasi pelepasan cincin dijari sebelah tangan salah warga kelurahan kutorejo kecamatan tuban jari sebelah kanan mengalami pembengkakan,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"28 Nov 2024, 10:31",Evakuasi anak terkunci di kamar,https://www.lapor.go.id/laporan/detil/evakuasi-anak-terkunci-di-kamar-202411281031261732764686617,laporan salah warga desa penambangan kecamatan semanding anaknya berusia 8 terkunci kamar kunci kamar rusak patah,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"28 Nov 2024, 10:28",pelepasan cincin,https://www.lapor.go.id/laporan/detil/pelepasan-cincin-202411281028361732764516012,permohonan pelepasan cincin jari salah warga desa jatiklabang kecamatan jatirogo susah dilepas,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"28 Nov 2024, 10:26",bantuan evakuasi handphone yang tercebur di selokan,https://www.lapor.go.id/laporan/detil/bantuan-evakuasi-handphone-yang-tercebur-di-selokan-202411281026081732764368604,mohon bantuan warga kelurahan latsari kecamatan tuban jogging handphone terjatuh selokan pinggir jalan,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"28 Nov 2024, 10:21",Bantuan pengambilan Hp yang tercebur di sumur,https://www.lapor.go.id/laporan/detil/bantuan-pengambilan-hp-yang-tercebur-di-sumur-202411281021371732764097731,laporan warga desa gemanting kecamatan semanding melaporkan handphone tercebur sumur bantuan evakuasi,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"28 Nov 2024, 10:18",Pelepasan Cincin,https://www.lapor.go.id/laporan/detil/pelepasan-cincin-202411281018261732763906906,permohonan bantuan pelepasan cincin santri pondok pesantren assalam putri bangilan perangkat desa kedungharjo kecamatan bangilan,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"28 Nov 2024, 3:14",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411281014591732763699570,ular masuk rumah warga desa sumurgung kabupaten tuban,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 3:13",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411281013311732763611448,laporan warga desa prunggahan kecamatan semanding keberadaan ular rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 3:11",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411281011361732763496898,laporan warga kelurahan sidorejo kecamatan tuban ular masuk dapur rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 3:09",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411281009321732763372237,laporan warga kelurahan karang kecamatan semanding ular masuk rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 3:07",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411281007441732763264347,laporan warga kelurahan sendangharjo kecamatan tuban ular masuk rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 3:05",Evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411281005521732763152022,laporan ular kandang ayam milik warga desa ngawun kecamatan parengan,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 3:03",Evakuasi Ular Phyton,https://www.lapor.go.id/laporan/detil/evakuasi-ular-phyton-202411281003491732763029891,laporan permohonan evakuasi ular piton warga desa kedungmulyo kecamatan bangilan kandang ayam miliknya melilit ekor ayam mati .,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:56",Evakuasi Sarang Tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202411280956351732762595258,melaporkan permohonan pembasmian sarang tawon atap rumah warga desa prambontergayang kecamatan soko berdiameter 40 resah pemilik rumah masyarakat,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:54",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411280954581732762498681,laporan permohonan evakuasi 3 ekor ular koros warga desa sandingrowo kecamatan soko warung bakso 70cm,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:53",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411280953201732762400128,laporan warga lingkungan jarkali kecamatan semanding ular rumahnya bantuan damkar pos markas komando evakuasi ular,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:51",Evakuasi Kucing Terjepit,https://www.lapor.go.id/laporan/detil/evakuasi-kucing-terjepit-202411280951321732762292256,laporan warga kelurahan mondokan kecamatan tuban kucing terjepit mesin kap mobil bantuan damkar evakuasi kucing,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:49",Evakuasi Ular Cobra,https://www.lapor.go.id/laporan/detil/evakuasi-ular-cobra-202411280949491732762189053,laporan permohonan evakuasi ular cobra warga kelurahan perbon kecamatan tuban,Evakuasi/Penyelamatan Hewan,Immediat
"28 Nov 2024, 2:48",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411280948071732762087840,laporan salah warga desa sumberejo kecamatan rengel ular masuk kandang ayam warga,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:45",Evakuasi Tawon,https://www.lapor.go.id/laporan/detil/evakuasi-tawon-202411280945481732761948212,laporan permohonan pembasmian sarang tawon pohon bambu berdiameter 30 desa bangunrejo kecamatan soko resah masyarakat,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:43",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411280943071732761787176,laporan warga desa sugiharjo kecamatan tuban ular rumah meresahkan pemilik rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:37",Evakuasi Sarang Tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202411280937431732761463883,laporan sarang tawon salah sekolah kelurahan perbon kecamatan tuban meresahkan guru siswa melaporkan satuan polisi pp damkar,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:35",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411280935161732761316767,laporan warga desa kebonharjo kecamatan jatirogo salah rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:32",Evakuasi Biawak,https://www.lapor.go.id/laporan/detil/evakuasi-biawak-202411280932451732761165411,laporan warga kelurahan perbon kecamatan tuban biawak dapurnya bantuan damkar evakuasi biawak,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:29",Evakuasi Ular Cobra,https://www.lapor.go.id/laporan/detil/evakuasi-ular-cobra-202411280929381732760978178,laporan permohonan evakuasi ular cobra warga desa ngadirejo kecamatan rengel kandang ayam 1m,Evakuasi/Penyelamatan Hewan,Immediat
"28 Nov 2024, 2:27",Evakuasi Ular Phyton,https://www.lapor.go.id/laporan/detil/evakuasi-ular-phyton-202411280927341732760854220,laporan permohonan evakuasi ular pyton warga desa rengel kecamatan rengel atap rumah 3,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:25",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411280925091732760709324,ular salah rumah warga desa kedungjambe kecamatan persinggahan,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:22",Evakuasi Ular Phyton,https://www.lapor.go.id/laporan/detil/evakuasi-ular-phyton-202411280922551732760575328,laporan permohonan evakuasi ular pyton rumah warga desa mulyoagung kecamatan persinggahan menyebabkan keresahan keluarga warga .,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:12",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411280912161732759936199,ular masuk salah rumah warga desa sugiharjo kecamatan tuban pemilik rumah ketakutan,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 2:04",Evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202411280904491732759489403,laporan permohonan evakuasi ular koros ular kayu warga desa sadang kecamatan jatirogo rumah miliknya,Evakuasi/Penyelamatan Hewan,Segera
"28 Nov 2024, 1:57",Kebakaran Pemukiman Warga,https://www.lapor.go.id/laporan/detil/kebakaran-pemukiman-warga-202411280857041732759024673,kebakaran pemukiman warga desa karangagung kecamatan palang akibat kelalaian salah warga membakar sisa pembakaran sampah,Kebakaran,Immediat
"28 Nov 2024, 1:50",Kebakaran Kandang,https://www.lapor.go.id/laporan/detil/kebakaran-kandang-202411280850401732758640649,kebakaran disebabkan bediang merembet tumpukan jerami merembet kandang salah warga desa glodog kecamatan palang,Kebakaran,Immediat
"28 Nov 2024, 1:46",Kebakaran tempat jualan warga,https://www.lapor.go.id/laporan/detil/kebakaran-tempat-jualan-warga-202411280846521732758412299,konsleting listrik menyebabkan kebakaran merambat jualan warga desa sadang kecamatan jatirogo,Kebakaran,Immediat
"28 Nov 2024, 1:44",Kabel internet terbakar,https://www.lapor.go.id/laporan/detil/kabel-internet-terbakar-202411280844371732758277616,"kebakaran akibat kabel internet menempel kabel listrik warga mengakibatan kabel tebakar atap rumah salah warga kelurahan kebonsari kecamatan tuban , pelapor melaporkan kejadian bantuan tim damkar",Kebakaran,Immediat
"28 Nov 2024, 1:41",Kebakaran Kandang,https://www.lapor.go.id/laporan/detil/kebakaran-kandang-202411280841561732758116151,kebakaran kandang salah warga desa ngadirejo kecamatan rengel,Kebakaran,Immediat
"28 Nov 2024, 1:39",Kebakaran Rumpun Bambu,https://www.lapor.go.id/laporan/detil/kebakaran-rumpun-bambu-202411280839151732757955784,"kebakaran rumpun bambu barongan dusun krajan desa gesing duga kebakaran berasal bakar sampah menyambar rumpun bambu berdekatan , api warga panik berdekatan rumah warga .",Kebakaran,Immediat
"31 Okt 2024, 02:25",kebakaran lahan kosong,https://www.lapor.go.id/laporan/detil/kebakaran-lahan-kosong-202410310925481730341548337,kebakaran lahan pemukiman warga pembuangan sampah desa rengel kecamatan rengel,Kebakaran,Immediat
"31 Okt 2024, 02:23",kebakaran di perumahan,https://www.lapor.go.id/laporan/detil/kebakaran-di-perumahan-202410310923071730341387425,tolong dibantu memadamkan api kebakaran akibat korsleting listrik perumahan warga desa sendang kecamatan senori,Kebakaran,Immediat
"31 Okt 2024, 02:19",kebakaran lahan kosong,https://www.lapor.go.id/laporan/detil/kebakaran-lahan-kosong-202410310919211730341161473,mohon dibantu kebakaran lahan kosong desa sugiharjo mohon pemadaman,Kebakaran,Immediat
"31 Okt 2024, 02:16",kebakaran lahan kosong,https://www.lapor.go.id/laporan/detil/kebakaran-lahan-kosong-202410310916271730340987410,"mohon dibantu kebakaran lahan kosong desa tegalbang kecamatan palang , warga membakar sampah merembet tumpukan sampah kulit siwalan kering , warga berupaya melakukkan pemadaman api menyala",Kebakaran,Immediat
"31 Okt 2024, 02:12",kebakaran tempat usaha,https://www.lapor.go.id/laporan/detil/kebakaran-tempat-usaha-202410310912421730340762528,"mohon bantuan pemadam kebakaran , kebakaran usaha milik warga desa trutup dsn . talon kec . plumpang",Kebakaran,Immediat
"29 Okt 2024, 02:53",sarang tawon di pekarangan,https://www.lapor.go.id/laporan/detil/sarang-tawon-di-pekarangan-202410290953331730170413482,sarang tawon pekarangan rumah warga desa rahayu kecamatan soko mengganggu aktivitas warga,Evakuasi/Penyelamatan Hewan,Segera
"29 Okt 2024, 02:43",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202410290943331730169813685,tolong evakuasi sarang tawon rumah warga desa kenongosari kecamatan soko,Evakuasi/Penyelamatan Hewan,Segera
"29 Okt 2024, 02:36",Serangan Tawon,https://www.lapor.go.id/laporan/detil/serangan-tawon-202410290936091730169369519,tolong dibantu mengevakuasi sarang tawon avinis atap rumah warga desa prambontergayang kecamatan soko,Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 03:24",sarang tawon yang meresahkan,https://www.lapor.go.id/laporan/detil/sarang-tawon-yang-meresahkan-202410281024391730085879937,tolong dievakuasi sarang tawon avinis atap rumah warga desa prambontergayang kecamatan soko,Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 03:22",ular masuk kandang,https://www.lapor.go.id/laporan/detil/ular-masuk-kandang-202410281022231730085743241,tolong ditangkap ular kandang ayam warga desa sumberejo kecamatan rengel,Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 03:20",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202410281020161730085616017,mohon bantuan tangkap ular piton samping rumah warga kelurahan ronggomulyo kecamatan tuban meresahkan aktivitas pemilik rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 03:17",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202410281017581730085478555,tolong bantuan evakuasi ular rumah warga desa sumurgung kec . tuban,Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 03:15",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202410281015531730085353893,evakuasi ular pyton samping warung milik warga lingkungan asrama polisi hutan desa wotsogo kecamatan jatirogo kabupaten tuban provinsi jawa timur menyebabkan keresahan warga,Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 03:13",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202410281013491730085229264,"evakuasi ular rumah warga desa rengel kecamatan rengel ular pyton berukuran 2,5 meter dapur rumah",Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 02:49",kucing masuk sumur,https://www.lapor.go.id/laporan/detil/kucing-masuk-sumur-202410280949491730083789600,evakuasi kucing masuk sumur kelurahan sidorejo kecamatan tuban,Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 02:44",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202410280944151730083455882,evakuasi ular rumah warga desa tuwiri wetan kecamatan merakurak meresahkan,Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 02:41",sarang tawon meresahkan,https://www.lapor.go.id/laporan/detil/sarang-tawon-meresahkan-202410280941441730083304019,bantuan evakuasi sarang tawon rumah warga kelurahan kebonsari kecamatan tuban,Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 02:39",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202410280939131730083153736,evakuasi ular piton terjerat jaring disamping rumah warga desa tegalbang kec . palang bantuan damkar tuban evakuasi ular,Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 02:28",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202410280928501730082530543,evakuasi ular pyton rumah desa mulyoagung kec . persinggahan menyebabkan keresahan keluarga warga .,Evakuasi/Penyelamatan Hewan,Segera
"28 Okt 2024, 02:26",Sapi terperangkap di sumur,https://www.lapor.go.id/laporan/detil/sapi-terperangkap-di-sumur-202410280926271730082387469,mohon bantuan evakuasi sapi masuk sumur desa sidotentrem kecamatan bangilan,Kebakaran,Immediat
